time/steps,time/epochs,time/steps_per_second,time/dataset,time/extras_step,time/processor,time/train_step,lr/actor,train/q_loss,train/v_loss,train/actor_loss,train/v,train/q,train/adv,train/replay_reward_loss,train/r_var,train/r_qv,train/reward_rp_real,train/reg1,train/reg2,time/validation,time/eval,eval/score,eval/reward,eval/length,eval/reward_std,step,eval/TimeLimit.truncated
20000,0,17.844887769790233,0.0009267330169677734,5.0067901611328125e-06,0.008192300796508789,0.06403732299804688,0.0002997040092642462,2.2502588210105894,0.2535510350316763,3.3476867371797563,40.84590291595459,40.99143450927734,-0.16874838197603823,1.086657910645008,0.9338146306872368,0.7399355894699693,0.7422250988483429,0.9338146306872368,1.2675972560644149,1.8596649169921875e-05,159.75125241279602,0.6359247392326136,2049.3907393708114,918.7,559.4082813688896,20000,1.0
25000,0,18.183472681442534,0.0005548000335693359,3.814697265625e-06,0.00975799560546875,0.10289692878723145,0.0002995376000599746,3.1612050434350967,0.3421942229270935,4.04340567946434,45.35615823364258,45.42806621551514,-0.19484554986841976,1.4239664021134377,1.269511879324913,0.7390035657137632,0.7417763574123383,1.269511879324913,1.8377733039557933,2.5510787963867188e-05,53.80227041244507,0.279634545940628,889.8185437396181,327.9,25.13551022063429,25000,1.0
30000,0,14.982804602023897,0.0007898807525634766,4.0531158447265625e-06,0.013529777526855469,0.08168959617614746,0.0002993342946904667,3.340486580491066,0.4283495624959469,4.312923032045364,48.40324031829834,48.42443350219727,-0.2168085545822978,1.4930036264061928,1.337141967356205,0.7419666614457965,0.743740516781807,1.337141967356205,1.948189342021942,9.298324584960938e-06,130.3342523574829,0.3266556043193593,1042.8519780908252,869.4,400.5656302301038,30000,1.0
35000,0,12.690858999895182,0.0005869865417480469,3.5762786865234375e-06,0.012784242630004883,0.07619833946228027,0.00029909414331828147,3.6428479660749433,0.48654371765255927,4.769192746162415,50.63219209289551,50.61538813781738,-0.23451464004255831,1.6037264206409454,1.4246867189407348,0.7414940016418695,0.7419242608547211,1.4246867189407348,2.138900721371174,9.5367431640625e-06,129.76578521728516,0.3363545962322415,1074.4180485569107,814.0,275.72611754674165,35000,1.0
40000,0,22.322034327672228,0.0005757808685302734,3.337860107421875e-06,0.004770517349243164,0.03526115417480469,0.00029881720519717565,3.3670804970264436,0.5544387415647507,4.95294389462471,52.220438278198245,52.183560806274414,-0.24491692627593875,1.5017318785190583,1.3166507667303085,0.7390155867300927,0.7419562795162201,1.3166507667303085,1.9667826113700866,2.288818359375e-05,131.46717190742493,0.3367121175429276,1075.5816275131172,791.1,186.80092251632271,40000,1.0
45000,0,14.395706516116658,0.0006108283996582031,3.337860107421875e-06,0.018599271774291992,0.057804107666015625,0.0002985035486574883,4.16281314766407,0.5990300804674625,5.070211767196655,53.290421287536624,53.23884212493896,-0.25659424807690084,1.8019037739038468,1.6052961208820342,0.7424040407948196,0.7434431332349777,1.6052961208820342,2.4634726081490514,1.049041748046875e-05,154.94639205932617,0.31453081987413223,1003.3909904312944,1000.0,1.8180262545575683,45000,1.0
50000,0,13.957840154899099,0.0005385875701904297,3.5762786865234375e-06,0.010709524154663086,0.08196210861206055,0.00029815325108927524,4.282025836467743,0.6574095461368561,5.43734463429451,54.136969749450685,54.06774452972412,-0.26761617386713626,1.8436113820075988,1.6507022007703782,0.7416999587193132,0.741465989112854,1.6507022007703782,2.5385817269086837,8.344650268554688e-06,155.384343624115,0.5378791951308235,1730.2944269084696,1000.0,16.663136562540068,50000,1.0
55000,0,14.027151815141076,0.0006558895111083984,4.291534423828125e-06,0.017353534698486328,0.07468461990356445,0.0002977663989232198,3.98815873503685,0.7093604782521725,5.689029464483261,54.65040962982178,54.5731237411499,-0.27645613448601214,1.7358398913145066,1.5548242628574371,0.7431625164076686,0.7439197624921798,1.5548242628574371,2.3544667176008223,8.344650268554688e-06,71.93581795692444,0.3595094694155072,1149.7772575449544,457.2,635.8300763853407,55000,1.0
60000,0,14.9221342339454,0.0006122589111328125,4.5299530029296875e-06,0.002251148223876953,0.013091802597045898,0.0002973430876093067,4.0817673649787904,0.7210802313685417,5.734588438153267,55.0807216796875,55.000085159301754,-0.281245773371309,1.770389016866684,1.5489538853168487,0.743718018501997,0.7438825606107712,1.5489538853168487,2.4116011102199555,9.5367431640625e-06,153.70493412017822,0.48551494192483347,1559.8711786522465,1000.0,197.9179435971838,60000,1.0
65000,0,13.846670170009864,0.0006728172302246094,3.814697265625e-06,0.01789689064025879,0.05832338333129883,0.0002968834215932661,4.4807486209869385,0.749678205370903,5.653968812227249,55.35278070831299,55.26508497619629,-0.2841710466388613,1.9200508214235306,1.7061002949476243,0.7421402818560601,0.7439650354385376,1.7061002949476243,2.661198853135109,1.1205673217773438e-05,159.61425852775574,0.6852692567603262,2209.9860395200917,1000.0,80.9914313629417,65000,1.0
